bug_id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,5309912bf04fce7e7168dd4ab29cd66f48c7a5a5,9553bd0360979887e17c65ca12f5ee6b3a4b2a3c,checkstyle_checkstyle-10406,https://github.com/checkstyle/checkstyle/issues/10388
2,ae7c640d1af2d1d7837d6c242221f54e174cf296,1250fa90824eb2dd4ca352ae5b0eb7d24550e2bf,checkstyle_checkstyle-10407,https://github.com/checkstyle/checkstyle/issues/10389
3,e4478c1adbc89fec05e54f5652957f4ead497978,e2c3e597a4ca9f7e40f53bea14ccb55871dd9d6f,checkstyle_checkstyle-10418,https://github.com/checkstyle/checkstyle/issues/10408
4,e2c3e597a4ca9f7e40f53bea14ccb55871dd9d6f,2f0a998043c378d8e1e2b1de53d4ca921e8b8e7e,checkstyle_checkstyle-10419,https://github.com/checkstyle/checkstyle/issues/10409
5,2f0a998043c378d8e1e2b1de53d4ca921e8b8e7e,5e510f7f1e2f5a19223b543c401a9486e0745bb8,checkstyle_checkstyle-10422,https://github.com/checkstyle/checkstyle/issues/10411
6,82f327f3400bf9b3259684ed7e0ef837a846eb7c,7998f2f48f7fae34a632d8ed05ec4175a568d39f,checkstyle_checkstyle-10423,https://github.com/checkstyle/checkstyle/issues/10412
7,eac3f5f045e283d07c4d6ffadf5f1c63b329efe8,ae7c640d1af2d1d7837d6c242221f54e174cf296,checkstyle_checkstyle-10433,https://github.com/checkstyle/checkstyle/issues/10410
8,c2145b7e20c6e218e3c530557598de465b7b79cb,3f9f37c6c98150ff1717a9641cfb5e06729e7f20,checkstyle_checkstyle-10434,https://github.com/checkstyle/checkstyle/issues/10424
9,124c5d78db590afe9d2471840b65ea25acd0ab4b,e41564bf9a315d1c2c5d860a9c9d07267e6a9522,checkstyle_checkstyle-10435,https://github.com/checkstyle/checkstyle/issues/8652
10,8cabbaad421180e96ccb4e09ea7c29fe291b32f7,a7a3f7ac2766fddcc00b752f91e8c31cafdd61e6,checkstyle_checkstyle-10436,https://github.com/checkstyle/checkstyle/issues/8291
11,95d58c0306a17da0eb2480e4235e7a25dcc17f44,1e499575c443fa9a926878b0c416572a128b5deb,checkstyle_checkstyle-10437,https://github.com/checkstyle/checkstyle/issues/8050
12,e6eb140b0e32274d011cafe5cb4e48879b2897ab,9c9ee3855844d0fdc71fce334cdfeb0e4c7f1e19,checkstyle_checkstyle-10438,https://github.com/checkstyle/checkstyle/issues/10425
13,9c9ee3855844d0fdc71fce334cdfeb0e4c7f1e19,4fb27e1815f83b7b0f92aeb36906699cdb3e23ac,checkstyle_checkstyle-10439,https://github.com/checkstyle/checkstyle/issues/10426
14,4fb27e1815f83b7b0f92aeb36906699cdb3e23ac,335a68e01dcfc8dc3f69ff3f29dc258f675824a0,checkstyle_checkstyle-10440,https://github.com/checkstyle/checkstyle/issues/10427
15,335a68e01dcfc8dc3f69ff3f29dc258f675824a0,810e4e43e41072952563e3e0fc817d2719ec74a2,checkstyle_checkstyle-10441,https://github.com/checkstyle/checkstyle/issues/10428
16,810e4e43e41072952563e3e0fc817d2719ec74a2,9d029b4ec2d5fe2310cb5fdc24a6792b385712ca,checkstyle_checkstyle-10442,https://github.com/checkstyle/checkstyle/issues/10429
17,9d029b4ec2d5fe2310cb5fdc24a6792b385712ca,eac3f5f045e283d07c4d6ffadf5f1c63b329efe8,checkstyle_checkstyle-10443,https://github.com/checkstyle/checkstyle/issues/10430
18,1250fa90824eb2dd4ca352ae5b0eb7d24550e2bf,f35987e987840ee38edb1be10ab9d1f9627b151a,checkstyle_checkstyle-10454,https://github.com/checkstyle/checkstyle/issues/10444
19,f35987e987840ee38edb1be10ab9d1f9627b151a,6f6d7e4b1ca24a56ac736cbe15da317589af1b30,checkstyle_checkstyle-10455,https://github.com/checkstyle/checkstyle/issues/10445
