bug_id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,4e123436d0f5f416edb86e618a79d8fcff5efbfd,7e5ee2142c8e3b13cbc52c1289a7f239962123ee,OpenAPITools_openapi-generator-13164,https://github.com/OpenAPITools/openapi-json-schema-generator/issues/11
2,4ee0cfa1ad1b446ad40c9598740ccec54405f309,0060dfd19501e489d892b87e48f29188e62034ed,OpenAPITools_openapi-generator-13580,https://github.com/OpenAPITools/openapi-generator/issues/13365
3,14669d226b1687ae4a0f6c4b852a026816aac1d4,6b0644115bdb2c2981dba9ad70d42b1e50db1bb8,OpenAPITools_openapi-generator-13936,https://github.com/OpenAPITools/openapi-generator/issues/13932
4,743202241eff70c10e258f658fac2fbfdcbb4f6d,76d81191500e52464fa4f7d0705d8ae46c83eee0,OpenAPITools_openapi-generator-13941,https://github.com/OpenAPITools/openapi-generator/issues/13885
5,6e649af9a7d6f12362f4a1ee7521aae4c865f765,3ea346e1bbdf1d6f913d8388d9ab95a2a44b8a4d,OpenAPITools_openapi-generator-13962,https://github.com/OpenAPITools/openapi-generator/issues/13379
6,1670e952ff56d706a2a721ea7fe16ce6899e99d8,188c39dccd912202a025363cbf9ba19bf2716412,OpenAPITools_openapi-generator-13996,https://github.com/OpenAPITools/openapi-generator/issues/13971
7,09c070a27e78ef350b7762afc3c17aa35407a167,dc1b2ed9e0fb275995c3020b4fd312f182595981,OpenAPITools_openapi-generator-14081,https://github.com/OpenAPITools/openapi-generator/issues/14079
8,921199bba7fd71b1a5acc60d69e8f2113dd60cb6,d0800c46e16f4a6d10f1c6b45b8c905226cafe3e,OpenAPITools_openapi-generator-14335,https://github.com/OpenAPITools/openapi-generator/issues/12551
9,a94ad37738e2e87762214666df8a609c4ca47b88,626cd8c0cdd7c1f5d1b331b00852557110bd6158,OpenAPITools_openapi-generator-14433,https://github.com/OpenAPITools/openapi-generator/issues/2737
10,74073df27c5374f34a3be7658f490db6305f1d3e,4cd080762aa4c41d7d83fe7c4cb9d28507038f5d,OpenAPITools_openapi-generator-14450,https://github.com/OpenAPITools/openapi-generator/issues/14449
11,1b60ee1799a6831a9cd59cb833db63d4ee4eb06b,68b944e6e62fa69669e97a8c2041a7eb7ed3314a,OpenAPITools_openapi-generator-14536,https://github.com/OpenAPITools/openapi-generator/issues/14531
12,e00d8d564ab3d615eca15d09a03b03817d067320,f455ac166c4ecc8ae7fce0005beacd9640f56acf,OpenAPITools_openapi-generator-14634,https://github.com/OpenAPITools/openapi-generator/issues/14633
13,c5d67ee042e45a3217ce28b2bcb0445b4df11af3,cb20e742eac7139f026413a4bfa79b71e8fde108,OpenAPITools_openapi-generator-14733,https://github.com/OpenAPITools/openapi-generator/issues/14731
14,564939a4a8eb73f26a5878445c058875e2a1f2a9,f45523dd1a6c4c02d1745c13104beadfa103fa26,OpenAPITools_openapi-generator-14768,https://github.com/OpenAPITools/openapi-generator/issues/11185
15,d497c3d087b85ecebf8839a732fc572ae794fc45,70faa6b15c1084ee1bb5cc5526c9340fa544e2f6,OpenAPITools_openapi-generator-14882,https://github.com/OpenAPITools/openapi-generator/issues/14689
16,e38ea578f879d1a86972ee3c70dfc0d4e34e10eb,4ed3cd92335ec9ca3cb13471eb9b0cc2112469c7,OpenAPITools_openapi-generator-14891,https://github.com/OpenAPITools/openapi-generator/issues/14481
17,56e5122a6a8e62c4f85cfe7f7f1b3118689a5130,a4dd90c01d3d2061cc2bcb5886c526bad184c67e,OpenAPITools_openapi-generator-15035,https://github.com/OpenAPITools/openapi-generator/issues/14524
18,f5b4490bc9512b3a5104a4e4bbd95e93cfd75c56,9b2917f3a91fd38ffa16f9657e73961f08d89e04,OpenAPITools_openapi-generator-15234,https://github.com/OpenAPITools/openapi-generator/issues/12341
19,ede1c9ca3ee8a64c7a3d70b4fd7a1c6555e080b8,2c78ff78ed57bb0f7dba0cf8cd6abd298b2805df,OpenAPITools_openapi-generator-15266,https://github.com/OpenAPITools/openapi-generator/issues/15264
20,de27749047a88ce455986882baff865a1406f7de,6f24ad36255cbb884fed3c43ae63ebe8766292f5,OpenAPITools_openapi-generator-15287,https://github.com/OpenAPITools/openapi-generator/issues/15286
21,852eb956dbc33e355c09cb1f3b3af1d1577b04c5,ac1f5f1e8117956bd60c13fff01e8a9ef49ccbfc,OpenAPITools_openapi-generator-16033,https://github.com/OpenAPITools/openapi-generator/issues/15972
22,7f480cb9360e98308a16d0adae1f8a2d8fad2ae6,1531ad48d0f5ed03036d5253e60cd5077d0d90ad,OpenAPITools_openapi-generator-16050,https://github.com/OpenAPITools/openapi-generator/issues/15476
